Song,Artist
All The Kids Are Right,Local H
Another One Bites the Dust,Queen
Badfish,Sublime
Barbie Girl,Aqua
The Bare Necessities,Jungle Book
Blinding Lights,The Weeknd
Bohemian Rhapsody,Queen
Born This Way,Orville Peck
Creep,Radiohead
Don't Speak,No Doubt
Electric Avenue,Eddie Grant
Fade Into You,Mazzy Star
Friends of P,The Rentals
Ghostbusters,"Ray Parker, Jr"
Grow Old With You,Adam Sandler
Hey Jude,The Beatles
Hurt,Johnny Cash
I Got a Girl,Tripping Daisy
I'll Make a Man Out of You,Mulan
I'm Yours,Jason Mraz
Joy to the World,Three Dog Night
Juke Box Hero,Foreigner
Just Dance,Lady Gaga
Like a Stone,Audioslave
Livin' on a Prayer,Bon Jovi
Loser,Beck
Love Shack,The B-52's
Lovefool,The Cardigans
Lovely Day,Bill Withers
Molokai Slide,Ehukai
Monkey Wrench,Foo Fighters
More Than Words,Extreme
Opihi Man,Ka'au Crater Boys
Peaches,The Presidents of the United States of America
Poison,Bell Biv Devoe
Possum Kingdom,Toadies
The Rainbow Connection,Kermit the Frog
"Red, Red Wine",UB40
Say it Ain't So,Weezer
Seether,Veruca Salt
Soul to Squeeze,Red Hot Chili Peppers
Stranger Than Fiction,Bad Religion
Sucked Out,Superdrag
Supernova,Liz Phair
"Take Me Home, Country Roads",Israel Kamakawiwo'ole
Teenage Dirtbag,Wheatus
The Banana Boat Song,Harry Belafonte
The Fresh Prince of Bel Air,DJ Jazzy Jeff & The Fresh Prince
The Humpty Dance,Digital Underground
TNT,ACDC
Torn,Natalie Imbruglia
Tribute,Tenacious D
Walking on Sunshine,Katrina & the Waves
Whatta Man,Salt-N-Pepa
When I Come Around,Green Day
Wonderwall,Oasis
You Know I'm No Good,Amy Winehouse
You're Welcome,Moana
Zombie,The Cranberries
Gangnam Style,PSY
Mele Kalikimaka,Bing Crosby
Over the Rainbow,Israel Kamakawiwo'ole
Poor Unfortunate Souls,The Little Mermaid
The Fox,Ylvis
The Safety Dance,Men Without Hats
"You're a Mean One, Mr. Grinch",Thurl Ravenscroft